predictor,training_missingness
x_lab_albumin_first,0.6287455887070902
x_lab_albumin_last,0.6287455887070902
x_lab_albumin_max,0.6287455887070902
x_lab_albumin_mean,0.6287455887070902
x_lab_albumin_min,0.6287455887070902
x_lab_albumin_n,0.6287455887070902
x_lab_bilirubin_total_first,0.6600363597476205
x_lab_bilirubin_total_last,0.6600363597476205
x_lab_bilirubin_total_max,0.6600363597476205
x_lab_bilirubin_total_mean,0.6600363597476205
x_lab_bilirubin_total_min,0.6600363597476205
x_lab_bilirubin_total_n,0.6600363597476205
x_lab_inr_first,0.6495989733718319
x_lab_inr_last,0.6495989733718319
x_lab_inr_max,0.6495989733718319
x_lab_inr_mean,0.6495989733718319
x_lab_inr_min,0.6495989733718319
x_lab_inr_n,0.6495989733718319
x_lab_phosphate_first,0.6637151106833494
x_lab_phosphate_last,0.6637151106833494
x_lab_phosphate_max,0.6637151106833494
x_lab_phosphate_mean,0.6637151106833494
x_lab_phosphate_min,0.6637151106833494
x_lab_phosphate_n,0.6637151106833494
x_lab_potassium_delta,0.6372580472676719
x_lab_sodium_delta,0.6811891776280612
